expName,curec_ID,session_nr,date,end_date,participant,age,gender,max_strength,block_count,trial_count,block_action_type,block_global_effort_state,block_attention_focus,trial_effort,trial_outcome,response,response_time,result,points,cumulative_points,effort_trace,effort_expended,effort_response_time
reward-effort-pgACC-TUS,R88533/RE002,1,2024-06-11_14h53.07.563,None,999,,,2.686106363932292,0,1,approach,true,outome,85,100,accept,0.6082861250033602,success,100,100,"[-280.0, -280.0, -279.0, -276.0, -271.0, -260.0, -253.0, -251.0, -250.0, -250.0, -250.0, -250.0, -250.0, -250.0, -248.0, -228.0, -214.0, -181.0, -155.0, -134.0, -125.0, -124.0, -123.0, -121.0, -120.0, -109.0, -99.0, -75.0, -61.0, -55.0, -51.0, -51.0, -50.0, -49.0, -46.0, -43.0, -39.0, -38.0, -35.0, -31.0, -26.0, -22.0, -13.0, -3.0, 7.0, 8.0, 16.0, 25.0, 31.0, 35.0, 38.0, 43.0, 45.0, 46.0, 47.0, 48.0, 49.0, 53.0, 59.0, 65.0, 68.0, 69.0, 71.0, 71.0, 72.0, 76.0, 79.0, 81.0, 81.0, 82.0, 83.0, 83.0, 84.0, 85.0, 86.0, 87.0, 88.0, 89.0, 90.0, 90.0, 90.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0]",90.56410256410257,3.032509582990315
reward-effort-pgACC-TUS,R88533/RE002,1,2024-06-11_14h53.07.563,None,999,,,2.686106363932292,0,2,approach,true,outome,70,100,accept,0.48079591599525884,success,100,200,"[-233.0, -232.0, -230.0, -228.0, -218.0, -199.0, -187.0, -178.0, -176.0, -169.0, -168.0, -161.0, -146.0, -127.0, -108.0, -99.0, -90.0, -86.0, -85.0, -85.0, -85.0, -84.0, -83.0, -69.0, -58.0, -46.0, -29.0, -17.0, -13.0, -10.0, -9.0, -7.0, -3.0, 2.0, 12.0, 31.0, 36.0, 37.0, 39.0, 42.0, 45.0, 46.0, 50.0, 52.0, 52.0, 53.0, 53.0, 54.0, 58.0, 63.0, 63.0, 65.0, 66.0, 69.0, 70.0, 71.0, 73.0, 76.0, 77.0, 78.0, 78.0, 78.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0]",78.43589743589743,2.500115625007311
reward-effort-pgACC-TUS,R88533/RE002,1,2024-06-11_14h53.07.563,None,999,,,2.686106363932292,0,3,approach,true,outome,90,100,accept,8.002444541998557,success,100,300,"[-240.0, -236.0, -235.0, -235.0, -234.0, -234.0, -234.0, -234.0, -231.0, -230.0, -230.0, -227.0, -217.0, -209.0, -187.0, -174.0, -157.0, -144.0, -144.0, -144.0, -144.0, -144.0, -144.0, -144.0, -144.0, -144.0, -144.0, -144.0, -143.0, -135.0, -109.0, -78.0, -60.0, -27.0, 4.0, 25.0, 39.0, 40.0, 42.0, 42.0, 43.0, 43.0, 44.0, 45.0, 61.0, 75.0, 76.0, 83.0, 91.0, 95.0, 96.0, 97.0, 98.0, 99.0, 99.0, 99.0, 99.0, 99.0, 98.0, 98.0, 98.0, 97.0, 96.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0]",95.87179487179488,2.3303142500080867
